train_rmse,valid_rmse
6.994327393429241,7.00273548244727
6.4103816226523795,6.42633006893517
5.682446833896723,5.714104796294288
4.877540024385552,4.950232504515644
4.020076998558382,4.146751316553028
3.134581504780322,3.3555263520050254
2.343715597931972,2.676119807033216
1.9667946952757185,2.3963261649514687
1.9011325614642618,2.358969116347841
1.7792601312454353,2.3143981285734507
1.707235929915109,2.3040223096480283
1.68320107150022,2.3054057368127903
1.6257035230526837,2.299049097784113
1.635871612474254,2.3287907067990536
1.6012040475278222,2.291276494573125
1.5788140390641099,2.322462138232475
1.552714448811224,2.3501559448002016
1.523432799645289,2.323487404284517
0.0,0.0
0.0,0.0
